Loai_San,Cap_Do_Ben,Chieu_dai_L(m),Chieu_ron_W(m),Be_day_h(m),Tai_trong_ULS(kN/m2),Phan_tu_so,Momen_M11(kNm/m),Momen_M22(kNm/m)
San_console_Cantilever,C35/45,5.08,2.19,0.1,8.0,2973,-19.184,-1.918
San_console_Cantilever,C40/50,6.09,2.46,0.13,9.01,2974,-27.262,-2.726
San_o_co_Waffle_Slab,C40/50,9.88,9.45,0.43,11.03,2975,47.28,51.681
San_o_co_Waffle_Slab,C35/45,13.34,10.34,0.42,11.03,2976,56.605,94.217
Ban_dam_1_phuong,C40/50,6.13,2.64,0.11,8.33,2977,5.806,1.161
San_phang_Flat_Slab,C20/25,8.75,7.7,0.26,13.4,2978,67.712,39.724
San_phang_Flat_Slab,C35/45,8.85,7.32,0.23,12.38,2979,60.15,33.168
San_console_Cantilever,C40/50,7.89,1.93,0.11,8.33,2980,-15.514,-1.551
San_phang_Flat_Slab,C25/30,10.17,8.03,0.25,13.06,2981,79.991,42.106
San_o_co_Waffle_Slab,C35/45,12.88,10.09,0.49,12.05,2982,58.886,95.953
San_phang_Flat_Slab,C35/45,12.08,8.19,0.26,13.4,2983,99.43,44.941
San_console_Cantilever,C20/25,5.92,1.52,0.1,8.0,2984,-9.242,-0.924
Ban_ke_4_canh_2_phuong,C30/37,10.03,5.13,0.2,11.37,2985,13.465,40.034
San_o_co_Waffle_Slab,C40/50,15.99,11.7,0.36,10.02,2986,65.839,122.972
San_console_Cantilever,C35/45,5.56,2.31,0.1,8.0,2987,-21.344,-2.134
Ban_ke_4_canh_2_phuong,C20/25,5.28,3.99,0.13,9.01,2988,6.455,8.791
Ban_dam_1_phuong,C35/45,8.63,2.87,0.13,9.01,2989,7.421,1.484
Ban_ke_4_canh_2_phuong,C25/30,4.06,3.71,0.19,11.03,2990,6.832,6.363
Ban_ke_4_canh_2_phuong,C40/50,6.62,5.56,0.17,10.36,2991,14.412,15.891
San_console_Cantilever,C35/45,6.38,2.36,0.13,9.01,2992,-25.091,-2.509
San_console_Cantilever,C40/50,6.02,1.88,0.11,8.33,2993,-14.721,-1.472
Ban_dam_1_phuong,C25/30,7.31,2.61,0.15,9.68,2994,6.594,1.319
Ban_dam_1_phuong,C30/37,8.35,3.51,0.12,8.67,2995,10.682,2.136
Ban_ke_4_canh_2_phuong,C25/30,4.95,3.37,0.12,8.67,2996,4.431,7.435
San_o_co_Waffle_Slab,C35/45,9.86,9.2,0.48,12.05,2997,48.956,56.232
San_phang_Flat_Slab,C35/45,9.15,7.58,0.29,14.41,2998,74.958,41.397
Ban_ke_4_canh_2_phuong,C20/25,8.03,4.81,0.15,9.68,2999,10.078,21.846
San_phang_Flat_Slab,C25/30,12.46,8.87,0.22,12.05,3000,99.883,47.403
San_phang_Flat_Slab,C25/30,9.88,8.31,0.23,12.38,3001,76.232,42.746
Ban_ke_4_canh_2_phuong,C35/45,8.43,4.71,0.15,9.68,3002,9.663,24.077
San_o_co_Waffle_Slab,C20/25,14.05,10.34,0.48,12.05,3003,61.84,114.178
San_o_co_Waffle_Slab,C25/30,9.73,9.68,0.48,12.05,3004,54.197,54.759
Ban_dam_1_phuong,C40/50,8.28,2.82,0.1,8.0,3005,6.362,1.272
Ban_dam_1_phuong,C25/30,11.17,3.72,0.11,8.33,3006,11.527,2.305
San_console_Cantilever,C20/25,4.27,1.54,0.13,9.01,3007,-10.684,-1.068
San_phang_Flat_Slab,C25/30,8.39,8.21,0.24,12.72,3008,65.713,42.869
Ban_ke_4_canh_2_phuong,C40/50,4.6,3.02,0.18,10.7,3009,4.391,7.924
Ban_dam_1_phuong,C40/50,8.68,3.88,0.11,8.33,3010,12.54,2.508
Ban_ke_4_canh_2_phuong,C25/30,5.9,3.93,0.14,9.35,3011,6.498,11.392
Ban_ke_4_canh_2_phuong,C25/30,5.87,5.28,0.14,9.35,3012,11.73,11.276
San_o_co_Waffle_Slab,C40/50,12.11,10.76,0.44,11.37,3013,63.187,80.037
San_console_Cantilever,C25/30,7.27,1.27,0.12,8.67,3014,-6.992,-0.699
Ban_dam_1_phuong,C35/45,10.75,3.9,0.12,8.67,3015,13.187,2.637
Ban_ke_4_canh_2_phuong,C25/30,7.28,4.79,0.16,10.02,3016,10.345,18.587
San_phang_Flat_Slab,C30/37,8.07,6.65,0.3,14.74,3017,59.327,32.592
San_console_Cantilever,C20/25,5.34,1.31,0.13,9.01,3018,-7.731,-0.773
Ban_ke_4_canh_2_phuong,C40/50,5.18,4.28,0.19,11.03,3019,9.092,10.359
Ban_ke_4_canh_2_phuong,C30/37,9.53,4.86,0.15,9.68,3020,10.289,30.77
Ban_dam_1_phuong,C20/25,5.55,2.23,0.13,9.01,3021,4.481,0.896
San_console_Cantilever,C40/50,6.19,1.52,0.12,8.67,3022,-10.016,-1.002
San_console_Cantilever,C20/25,3.64,1.74,0.12,8.67,3023,-13.125,-1.312
San_o_co_Waffle_Slab,C30/37,10.66,10.61,0.47,11.71,3024,63.275,63.872
Ban_ke_4_canh_2_phuong,C35/45,7.38,4.72,0.19,11.03,3025,11.058,21.026
Ban_ke_4_canh_2_phuong,C40/50,6.8,3.99,0.17,10.36,3026,7.422,16.767
San_o_co_Waffle_Slab,C30/37,13.02,9.52,0.47,11.71,3027,50.942,95.284
San_console_Cantilever,C30/37,7.21,1.59,0.1,8.0,3028,-10.112,-1.011
Ban_ke_4_canh_2_phuong,C40/50,6.25,3.86,0.19,11.03,3029,7.395,15.08
San_console_Cantilever,C20/25,5.43,1.34,0.14,9.35,3030,-8.394,-0.839
San_o_co_Waffle_Slab,C20/25,12.62,8.45,0.42,11.03,3031,37.803,84.321
Ban_ke_4_canh_2_phuong,C40/50,7.72,5.17,0.16,10.02,3032,12.052,20.901
San_phang_Flat_Slab,C20/25,8.5,7.01,0.23,12.38,3033,55.325,30.418
San_o_co_Waffle_Slab,C30/37,14.22,11.79,0.42,11.03,3034,73.594,107.057
San_console_Cantilever,C40/50,4.66,1.56,0.13,9.01,3035,-10.963,-1.096
San_phang_Flat_Slab,C40/50,10.76,8.88,0.22,12.05,3036,86.352,47.51
Ban_dam_1_phuong,C25/30,6.73,2.83,0.11,8.33,3037,6.671,1.334
San_console_Cantilever,C40/50,4.24,2.3,0.11,8.33,3038,-22.033,-2.203
Ban_ke_4_canh_2_phuong,C25/30,4.63,3.29,0.19,11.03,3039,5.373,8.276
San_phang_Flat_Slab,C25/30,14.7,9.99,0.22,12.05,3040,132.718,60.13
San_phang_Flat_Slab,C25/30,9.51,9.02,0.22,12.05,3041,77.524,49.02
Ban_ke_4_canh_2_phuong,C30/37,3.41,3.4,0.18,10.7,3042,5.566,4.355
Ban_ke_4_canh_2_phuong,C35/45,6.77,5.51,0.15,9.68,3043,13.225,15.528
San_console_Cantilever,C25/30,5.6,1.66,0.1,8.0,3044,-11.022,-1.102
Ban_ke_4_canh_2_phuong,C30/37,8.76,5.47,0.15,9.68,3045,13.034,25.999
San_o_co_Waffle_Slab,C40/50,12.16,11.44,0.44,11.37,3046,71.426,80.699
San_console_Cantilever,C25/30,6.69,1.77,0.12,8.67,3047,-13.581,-1.358
Ban_ke_4_canh_2_phuong,C35/45,8.62,5.37,0.17,10.36,3048,13.444,26.943
San_o_co_Waffle_Slab,C40/50,14.17,11.07,0.36,10.02,3049,58.939,96.571
San_o_co_Waffle_Slab,C35/45,11.63,10.06,0.37,10.36,3050,50.327,67.261
Ban_dam_1_phuong,C20/25,5.44,2.28,0.13,9.01,3051,4.684,0.937
Ban_dam_1_phuong,C20/25,9.21,3.59,0.13,9.01,3052,11.612,2.322
San_phang_Flat_Slab,C35/45,8.67,7.85,0.26,13.4,3053,68.4,41.287
Ban_dam_1_phuong,C35/45,7.12,3.04,0.14,9.35,3054,8.641,1.728
San_console_Cantilever,C30/37,3.41,2.07,0.13,9.01,3055,-19.303,-1.93
San_phang_Flat_Slab,C20/25,10.28,8.22,0.21,11.71,3056,74.214,39.561
San_o_co_Waffle_Slab,C30/37,14.58,10.21,0.36,10.02,3057,50.137,102.241
Ban_ke_4_canh_2_phuong,C30/37,5.69,3.32,0.16,10.02,3058,4.97,11.354
San_phang_Flat_Slab,C20/25,9.33,6.79,0.22,12.05,3059,57.253,27.778
Ban_ke_4_canh_2_phuong,C25/30,5.37,3.26,0.13,9.01,3060,4.309,9.094
San_console_Cantilever,C30/37,6.5,2.31,0.12,8.67,3061,-23.132,-2.313
San_o_co_Waffle_Slab,C25/30,14.42,10.47,0.35,10.02,3062,52.723,100.009
San_console_Cantilever,C25/30,6.06,2.33,0.12,8.67,3063,-23.534,-2.353
San_console_Cantilever,C30/37,5.02,1.21,0.13,9.01,3064,-6.596,-0.66
San_o_co_Waffle_Slab,C20/25,10.31,8.22,0.49,12.05,3065,39.082,61.482
Ban_dam_1_phuong,C20/25,7.58,2.19,0.11,8.33,3066,3.995,0.799
Ban_ke_4_canh_2_phuong,C35/45,8.72,4.96,0.17,10.36,3067,11.469,27.572
Ban_ke_4_canh_2_phuong,C35/45,7.83,4.17,0.18,10.7,3068,8.373,22.96
San_console_Cantilever,C25/30,3.58,1.91,0.11,8.33,3069,-15.194,-1.519
San_console_Cantilever,C25/30,6.39,2.31,0.14,9.35,3070,-24.946,-2.495
San_console_Cantilever,C30/37,3.1,1.3,0.12,8.67,3071,-7.326,-0.733
San_o_co_Waffle_Slab,C20/25,15.42,10.63,0.43,11.03,3072,59.825,125.888
San_console_Cantilever,C20/25,5.95,2.3,0.14,9.35,3073,-24.731,-2.473
Ban_dam_1_phuong,C30/37,11.04,3.45,0.13,9.01,3074,10.724,2.145
San_o_co_Waffle_Slab,C40/50,10.89,8.34,0.35,10.02,3075,33.453,57.038
Ban_dam_1_phuong,C30/37,10.3,2.98,0.13,9.01,3076,8.001,1.6
Ban_dam_1_phuong,C30/37,8.62,3.02,0.14,9.35,3077,8.528,1.706
San_console_Cantilever,C20/25,5.59,2.21,0.11,8.33,3078,-20.342,-2.034
Ban_dam_1_phuong,C30/37,5.79,2.34,0.1,8.0,3079,4.38,0.876
Ban_ke_4_canh_2_phuong,C40/50,7.62,4.2,0.15,9.68,3080,7.684,19.672
San_phang_Flat_Slab,C25/30,8.82,8.27,0.26,13.4,3081,73.306,45.823
San_console_Cantilever,C35/45,4.29,1.47,0.12,8.67,3082,-9.368,-0.937
San_o_co_Waffle_Slab,C30/37,12.14,11.72,0.4,10.7,3083,70.547,75.694
San_o_co_Waffle_Slab,C20/25,13.43,11.77,0.47,11.71,3084,77.867,101.38
Ban_dam_1_phuong,C20/25,7.87,3.53,0.11,8.33,3085,10.38,2.076
Ban_dam_1_phuong,C30/37,12.4,3.75,0.1,8.0,3086,11.25,2.25
Ban_ke_4_canh_2_phuong,C35/45,10.71,5.6,0.12,8.67,3087,12.235,34.807
Ban_dam_1_phuong,C20/25,8.09,2.59,0.15,9.68,3088,6.493,1.299
Ban_ke_4_canh_2_phuong,C30/37,8.84,5.99,0.16,10.02,3089,16.178,27.406
Ban_dam_1_phuong,C35/45,12.04,3.98,0.1,8.0,3090,12.672,2.534
San_console_Cantilever,C25/30,5.21,2.37,0.11,8.33,3091,-23.394,-2.339
San_phang_Flat_Slab,C35/45,9.25,7.69,0.28,14.07,3092,75.063,41.602
Ban_dam_1_phuong,C35/45,10.13,3.42,0.14,9.35,3093,10.936,2.187
Ban_ke_4_canh_2_phuong,C25/30,5.93,4.37,0.16,10.02,3094,8.611,12.332
Ban_ke_4_canh_2_phuong,C25/30,6.95,5.15,0.16,10.02,3095,11.959,16.94
Ban_dam_1_phuong,C20/25,6.32,2.56,0.12,8.67,3096,5.682,1.136
San_console_Cantilever,C40/50,3.66,2.28,0.11,8.33,3097,-21.651,-2.165
San_o_co_Waffle_Slab,C40/50,15.4,11.83,0.39,10.7,3098,71.878,121.805
San_o_co_Waffle_Slab,C20/25,13.85,10.41,0.37,10.36,3099,53.889,95.389
San_phang_Flat_Slab,C40/50,10.04,9.51,0.2,11.37,3100,81.421,51.415
San_console_Cantilever,C20/25,5.12,2.49,0.14,9.35,3101,-28.985,-2.899
Ban_ke_4_canh_2_phuong,C20/25,6.54,3.3,0.15,9.68,3102,4.744,14.491
San_console_Cantilever,C30/37,5.65,1.95,0.14,9.35,3103,-17.777,-1.778
Ban_ke_4_canh_2_phuong,C30/37,6.54,5.67,0.18,10.7,3104,15.48,16.018
San_phang_Flat_Slab,C25/30,7.85,7.17,0.25,13.06,3105,55.131,33.57
Ban_dam_1_phuong,C40/50,5.81,2.42,0.13,9.01,3106,5.277,1.055
Ban_dam_1_phuong,C30/37,9.08,3.15,0.12,8.67,3107,8.603,1.721
Ban_ke_4_canh_2_phuong,C20/25,8.08,4.99,0.16,10.02,3108,11.227,22.896
San_console_Cantilever,C40/50,7.35,1.63,0.14,9.35,3109,-12.421,-1.242
San_o_co_Waffle_Slab,C30/37,12.0,8.55,0.43,11.03,3110,38.703,76.239
Ban_dam_1_phuong,C30/37,6.77,2.45,0.11,8.33,3111,5.0,1.0
San_phang_Flat_Slab,C25/30,11.74,8.74,0.28,14.07,3112,108.277,53.739
Ban_dam_1_phuong,C20/25,5.6,2.58,0.11,8.33,3113,5.545,1.109
Ban_ke_4_canh_2_phuong,C40/50,4.25,3.87,0.19,11.03,3114,7.434,6.973
Ban_ke_4_canh_2_phuong,C35/45,4.24,3.38,0.12,8.67,3115,4.457,5.455
San_console_Cantilever,C40/50,5.95,1.89,0.14,9.35,3116,-16.7,-1.67
Ban_dam_1_phuong,C40/50,9.65,3.26,0.14,9.35,3117,9.937,1.987
San_o_co_Waffle_Slab,C25/30,11.18,10.92,0.47,11.71,3118,67.026,70.256
Ban_ke_4_canh_2_phuong,C35/45,4.74,4.47,0.17,10.36,3119,9.315,8.147
Ban_dam_1_phuong,C40/50,7.29,2.27,0.14,9.35,3120,4.818,0.964
Ban_ke_4_canh_2_phuong,C30/37,6.09,3.49,0.17,10.36,3121,5.678,13.448
San_phang_Flat_Slab,C25/30,9.15,6.71,0.2,11.37,3122,52.356,25.596
Ban_dam_1_phuong,C35/45,8.0,3.0,0.13,9.01,3123,8.109,1.622
San_o_co_Waffle_Slab,C20/25,12.34,10.69,0.4,10.7,3124,58.692,78.209
Ban_dam_1_phuong,C30/37,7.45,3.01,0.13,9.01,3125,8.163,1.633
Ban_dam_1_phuong,C25/30,6.54,2.21,0.1,8.0,3126,3.907,0.781
San_console_Cantilever,C35/45,3.93,1.5,0.12,8.67,3127,-9.754,-0.975
Ban_ke_4_canh_2_phuong,C30/37,6.6,5.5,0.18,10.7,3128,14.565,16.313
San_console_Cantilever,C35/45,7.83,2.03,0.14,9.35,3129,-19.265,-1.927
San_console_Cantilever,C30/37,7.18,2.04,0.14,9.35,3130,-19.455,-1.946
San_o_co_Waffle_Slab,C25/30,15.96,11.6,0.49,12.05,3131,77.83,147.331
Ban_ke_4_canh_2_phuong,C25/30,8.63,4.48,0.2,11.37,3132,10.269,29.638
Ban_dam_1_phuong,C25/30,7.73,3.62,0.15,9.68,3133,12.685,2.537
Ban_ke_4_canh_2_phuong,C25/30,6.97,4.76,0.15,9.68,3134,9.87,16.459
Ban_dam_1_phuong,C30/37,7.5,3.01,0.12,8.67,3135,7.855,1.571
San_console_Cantilever,C40/50,3.7,2.47,0.11,8.33,3136,-25.41,-2.541
Ban_ke_4_canh_2_phuong,C25/30,4.69,4.42,0.16,10.02,3137,8.809,7.714
Ban_dam_1_phuong,C35/45,7.74,3.58,0.1,8.0,3138,10.253,2.051
San_console_Cantilever,C20/25,5.66,1.26,0.1,8.0,3139,-6.35,-0.635
San_phang_Flat_Slab,C40/50,10.48,8.6,0.24,12.72,3140,85.982,47.039
Ban_dam_1_phuong,C25/30,7.63,2.91,0.1,8.0,3141,6.774,1.355
San_console_Cantilever,C35/45,5.41,1.36,0.1,8.0,3142,-7.398,-0.74
Ban_ke_4_canh_2_phuong,C30/37,4.7,3.1,0.12,8.67,3143,3.749,6.703
San_phang_Flat_Slab,C35/45,9.75,7.3,0.24,12.72,3144,67.901,33.892
San_o_co_Waffle_Slab,C40/50,11.84,9.34,0.43,11.03,3145,46.186,74.22
Ban_ke_4_canh_2_phuong,C40/50,5.11,4.5,0.12,8.67,3146,7.901,7.924
Ban_dam_1_phuong,C35/45,7.44,3.32,0.12,8.67,3147,9.556,1.911
San_phang_Flat_Slab,C25/30,13.07,9.75,0.23,12.38,3148,118.321,58.844
San_o_co_Waffle_Slab,C30/37,12.06,10.63,0.46,11.71,3149,63.513,81.751
San_console_Cantilever,C35/45,5.8,1.62,0.11,8.33,3150,-10.931,-1.093
San_console_Cantilever,C25/30,4.8,1.91,0.14,9.35,3151,-17.055,-1.706
San_o_co_Waffle_Slab,C30/37,11.25,11.18,0.42,11.03,3152,66.176,67.007
Ban_dam_1_phuong,C25/30,8.25,3.46,0.15,9.68,3153,11.589,2.318
Ban_dam_1_phuong,C25/30,8.59,2.88,0.15,9.68,3154,8.029,1.606
Ban_dam_1_phuong,C30/37,9.53,3.69,0.14,9.35,3155,12.731,2.546
San_o_co_Waffle_Slab,C40/50,11.1,8.33,0.48,12.05,3156,40.135,71.265
San_console_Cantilever,C30/37,6.28,2.05,0.12,8.67,3157,-18.218,-1.822
Ban_dam_1_phuong,C25/30,10.76,3.45,0.13,9.01,3158,10.724,2.145
San_phang_Flat_Slab,C20/25,6.01,6.01,0.29,14.41,3159,39.037,26.025
San_console_Cantilever,C30/37,7.93,1.98,0.11,8.33,3160,-16.328,-1.633
San_o_co_Waffle_Slab,C40/50,8.73,8.12,0.49,12.05,3161,38.136,44.082
San_phang_Flat_Slab,C40/50,9.42,7.81,0.29,14.41,3162,79.511,43.948
San_console_Cantilever,C20/25,7.82,1.34,0.14,9.35,3163,-8.394,-0.839
San_phang_Flat_Slab,C40/50,10.44,9.11,0.27,13.73,3164,97.938,56.974
San_console_Cantilever,C40/50,3.42,2.3,0.14,9.35,3165,-24.731,-2.473
Ban_ke_4_canh_2_phuong,C40/50,10.35,5.26,0.16,10.02,3166,12.475,37.568
Ban_ke_4_canh_2_phuong,C20/25,8.34,5.76,0.17,10.36,3167,15.467,25.221
San_phang_Flat_Slab,C35/45,6.9,6.18,0.26,13.4,3168,42.855,25.589
San_console_Cantilever,C20/25,3.71,1.96,0.13,9.01,3169,-17.306,-1.731
Ban_ke_4_canh_2_phuong,C30/37,9.67,5.11,0.16,10.02,3170,11.774,32.794
Ban_dam_1_phuong,C40/50,9.32,2.76,0.13,9.01,3171,6.863,1.373
San_o_co_Waffle_Slab,C40/50,14.53,11.93,0.35,10.02,3172,68.453,101.541
Ban_ke_4_canh_2_phuong,C40/50,7.38,4.82,0.13,9.01,3173,9.42,17.175
San_phang_Flat_Slab,C25/30,6.06,6.03,0.24,12.72,3174,34.861,23.126
San_phang_Flat_Slab,C25/30,10.81,7.89,0.25,13.06,3175,83.542,40.651
Ban_ke_4_canh_2_phuong,C20/25,6.65,5.56,0.18,10.7,3176,14.885,16.561
San_console_Cantilever,C25/30,6.18,2.24,0.14,9.35,3177,-23.457,-2.346
Ban_dam_1_phuong,C35/45,6.94,2.59,0.11,8.33,3178,5.588,1.118
San_console_Cantilever,C30/37,6.49,2.18,0.11,8.33,3179,-19.794,-1.979
San_phang_Flat_Slab,C20/25,10.68,9.32,0.29,14.41,3180,107.575,62.584
San_console_Cantilever,C20/25,6.95,1.22,0.11,8.33,3181,-6.199,-0.62
San_phang_Flat_Slab,C40/50,14.0,9.53,0.22,12.05,3182,120.578,54.72
Ban_dam_1_phuong,C30/37,9.72,3.87,0.14,9.35,3183,14.003,2.801
San_phang_Flat_Slab,C20/25,9.66,7.73,0.21,11.71,3184,65.581,34.985
San_console_Cantilever,C25/30,5.53,1.64,0.13,9.01,3185,-12.117,-1.212
Ban_dam_1_phuong,C40/50,5.26,2.32,0.13,9.01,3186,4.85,0.97
San_o_co_Waffle_Slab,C40/50,13.66,9.6,0.47,11.71,3187,51.801,104.882
San_phang_Flat_Slab,C20/25,11.08,8.98,0.25,13.06,3188,97.459,52.658
San_o_co_Waffle_Slab,C20/25,14.74,10.24,0.38,10.36,3189,52.144,108.043
San_phang_Flat_Slab,C30/37,10.85,7.94,0.23,12.38,3190,79.989,39.024
Ban_dam_1_phuong,C30/37,8.85,2.65,0.13,9.01,3191,6.327,1.265
San_o_co_Waffle_Slab,C25/30,13.53,9.61,0.4,10.7,3192,47.432,94.02
Ban_dam_1_phuong,C35/45,8.31,2.57,0.13,9.01,3193,5.951,1.19
San_console_Cantilever,C25/30,4.22,1.49,0.12,8.67,3194,-9.624,-0.962
Ban_ke_4_canh_2_phuong,C25/30,5.66,5.43,0.2,11.37,3195,15.086,12.749
Ban_ke_4_canh_2_phuong,C35/45,7.53,4.98,0.17,10.36,3196,11.562,20.56
San_o_co_Waffle_Slab,C30/37,13.08,11.71,0.35,10.02,3197,65.951,82.286
San_o_co_Waffle_Slab,C20/25,9.89,8.18,0.35,10.02,3198,32.182,47.044
San_phang_Flat_Slab,C35/45,10.75,9.31,0.22,12.05,3199,90.45,52.222
San_o_co_Waffle_Slab,C40/50,13.64,10.21,0.36,10.02,3200,50.137,89.482
San_phang_Flat_Slab,C35/45,11.43,8.64,0.3,14.74,3201,109.174,55.017
San_phang_Flat_Slab,C25/30,8.35,6.25,0.22,12.05,3202,47.164,23.535
San_console_Cantilever,C25/30,7.93,2.47,0.12,8.67,3203,-26.447,-2.645
San_phang_Flat_Slab,C20/25,8.23,7.45,0.26,13.4,3204,61.62,37.187
Ban_ke_4_canh_2_phuong,C20/25,5.36,4.35,0.19,11.03,3205,9.392,11.091
Ban_ke_4_canh_2_phuong,C25/30,5.24,4.56,0.2,11.37,3206,10.639,10.927
San_o_co_Waffle_Slab,C20/25,15.22,11.19,0.35,10.02,3207,60.224,111.414
Ban_dam_1_phuong,C40/50,8.93,3.63,0.13,9.01,3208,11.872,2.374
Ban_ke_4_canh_2_phuong,C40/50,6.25,5.49,0.16,10.02,3209,13.59,13.699
Ban_ke_4_canh_2_phuong,C20/25,5.68,4.38,0.12,8.67,3210,7.485,9.79
Ban_ke_4_canh_2_phuong,C20/25,6.16,5.3,0.18,10.7,3211,13.525,14.211
San_console_Cantilever,C20/25,4.75,2.37,0.15,9.68,3212,-27.186,-2.719
Ban_dam_1_phuong,C40/50,10.73,3.11,0.13,9.01,3213,8.715,1.743
Ban_dam_1_phuong,C35/45,11.82,3.91,0.15,9.68,3214,14.799,2.96
San_console_Cantilever,C35/45,6.19,1.31,0.12,8.67,3215,-7.439,-0.744
San_o_co_Waffle_Slab,C20/25,14.54,11.2,0.43,11.03,3216,66.413,111.93
Ban_dam_1_phuong,C40/50,8.43,3.14,0.14,9.35,3217,9.219,1.844
San_phang_Flat_Slab,C30/37,8.33,7.06,0.25,13.06,3218,57.604,32.548
San_phang_Flat_Slab,C30/37,9.59,9.38,0.21,11.71,3219,79.002,51.515
San_phang_Flat_Slab,C35/45,9.8,8.69,0.27,13.73,3220,87.696,51.842
San_o_co_Waffle_Slab,C40/50,12.29,9.31,0.48,12.05,3221,50.133,87.364
San_console_Cantilever,C35/45,7.02,1.62,0.14,9.35,3222,-12.269,-1.227
Ban_dam_1_phuong,C25/30,6.84,3.19,0.11,8.33,3223,8.477,1.695
San_console_Cantilever,C40/50,4.72,2.07,0.11,8.33,3224,-17.847,-1.785
Ban_dam_1_phuong,C20/25,9.65,3.38,0.11,8.33,3225,9.517,1.903
Ban_dam_1_phuong,C40/50,11.19,3.95,0.14,9.35,3226,14.588,2.918
San_o_co_Waffle_Slab,C25/30,11.34,10.05,0.39,10.7,3227,51.875,66.047
San_console_Cantilever,C40/50,6.94,1.95,0.14,9.35,3228,-17.777,-1.778
San_phang_Flat_Slab,C35/45,14.05,9.78,0.28,14.07,3229,145.001,67.289
San_o_co_Waffle_Slab,C40/50,11.5,8.98,0.43,11.03,3230,42.694,70.018
Ban_dam_1_phuong,C25/30,8.24,3.02,0.13,9.01,3231,8.217,1.643
Ban_ke_4_canh_2_phuong,C20/25,8.88,5.71,0.17,10.36,3232,15.2,28.593
San_o_co_Waffle_Slab,C30/37,14.57,10.18,0.42,11.03,3233,54.867,112.392
San_console_Cantilever,C35/45,7.94,2.47,0.1,8.0,3234,-24.404,-2.44
San_o_co_Waffle_Slab,C30/37,12.49,9.28,0.38,10.36,3235,42.825,77.576
Ban_ke_4_canh_2_phuong,C20/25,7.92,5.12,0.14,9.35,3236,11.03,20.527
Ban_ke_4_canh_2_phuong,C30/37,5.95,3.09,0.15,9.68,3237,4.159,11.994
San_phang_Flat_Slab,C25/30,8.81,6.29,0.26,13.4,3238,55.692,26.508
San_phang_Flat_Slab,C35/45,12.24,9.82,0.23,12.38,3239,111.603,59.692
San_phang_Flat_Slab,C35/45,11.92,8.83,0.22,12.05,3240,95.123,46.976
San_console_Cantilever,C30/37,4.7,1.87,0.13,9.01,3241,-15.754,-1.575
San_phang_Flat_Slab,C25/30,10.84,7.32,0.25,13.06,3242,77.722,34.989
San_console_Cantilever,C40/50,5.77,2.45,0.12,8.67,3243,-26.021,-2.602
San_phang_Flat_Slab,C30/37,7.86,6.64,0.25,13.06,3244,51.12,28.791
San_console_Cantilever,C20/25,4.62,1.56,0.14,9.35,3245,-11.377,-1.138
Ban_ke_4_canh_2_phuong,C20/25,9.96,5.02,0.16,10.02,3246,11.363,34.79
San_phang_Flat_Slab,C25/30,9.03,6.91,0.21,11.71,3247,54.8,27.957
Ban_dam_1_phuong,C20/25,4.92,2.1,0.11,8.33,3248,3.674,0.735
San_console_Cantilever,C20/25,6.01,2.0,0.12,8.67,3249,-17.34,-1.734
San_console_Cantilever,C35/45,7.07,1.52,0.11,8.33,3250,-9.623,-0.962
San_phang_Flat_Slab,C40/50,9.05,6.54,0.29,14.41,3251,63.966,30.817
Ban_dam_1_phuong,C35/45,6.58,2.63,0.13,9.01,3252,6.232,1.246
San_console_Cantilever,C25/30,7.15,2.47,0.1,8.0,3253,-24.404,-2.44
San_o_co_Waffle_Slab,C25/30,16.4,11.93,0.37,10.36,3254,70.775,133.748
San_console_Cantilever,C25/30,7.96,2.4,0.1,8.0,3255,-23.04,-2.304
San_phang_Flat_Slab,C25/30,12.84,9.85,0.25,13.06,3256,123.881,63.356
San_o_co_Waffle_Slab,C25/30,10.37,8.32,0.4,10.7,3257,35.553,55.231
Ban_ke_4_canh_2_phuong,C25/30,8.39,5.36,0.2,11.37,3258,14.699,28.013
Ban_ke_4_canh_2_phuong,C35/45,7.55,5.84,0.16,10.02,3259,15.378,19.991
San_o_co_Waffle_Slab,C40/50,10.67,8.12,0.38,10.36,3260,32.788,56.615
Ban_dam_1_phuong,C30/37,12.42,3.83,0.13,9.01,3261,13.217,2.643
San_console_Cantilever,C30/37,4.62,2.07,0.14,9.35,3262,-20.032,-2.003
Ban_ke_4_canh_2_phuong,C30/37,3.84,3.16,0.16,10.02,3263,4.503,5.171
Ban_dam_1_phuong,C30/37,7.99,3.37,0.14,9.35,3264,10.619,2.124
San_phang_Flat_Slab,C25/30,9.83,7.37,0.21,11.71,3265,63.627,31.803
San_phang_Flat_Slab,C40/50,7.97,6.05,0.27,13.73,3266,49.653,25.128
San_console_Cantilever,C30/37,5.2,2.3,0.12,8.67,3267,-22.932,-2.293
San_phang_Flat_Slab,C35/45,13.25,9.37,0.23,12.38,3268,115.276,54.346
Ban_dam_1_phuong,C30/37,5.7,2.64,0.14,9.35,3269,6.517,1.303
San_console_Cantilever,C30/37,7.01,2.09,0.13,9.01,3270,-19.678,-1.968
Ban_dam_1_phuong,C35/45,4.42,2.03,0.11,8.33,3271,3.433,0.687
Ban_dam_1_phuong,C20/25,7.73,2.24,0.1,8.0,3272,4.014,0.803
Ban_ke_4_canh_2_phuong,C30/37,6.7,4.5,0.13,9.01,3273,8.21,14.156
